Notes,Year,Year Code,Age Groups,Age Groups Code,Count
,1999,1999,15-19 years,15-19,17
,1999,1999,20-24 years,20-24,121
,1999,1999,25-29 years,25-29,781
,1999,1999,30-34 years,30-34,2788
,1999,1999,35-39 years,35-39,7064
,1999,1999,40-44 years,40-44,13401
,1999,1999,45-49 years,45-49,18860
,1999,1999,50-54 years,50-54,22204
,1999,1999,55-59 years,55-59,21604
,1999,1999,60-64 years,60-64,20646
,1999,1999,65-69 years,65-69,21398
,1999,1999,70-74 years,70-74,22969
,1999,1999,75-79 years,75-79,20927
,1999,1999,80-84 years,80-84,14030
,1999,1999,85+ years,85,11761
,2000,2000,20-24 years,20-24,121
,2000,2000,25-29 years,25-29,792
,2000,2000,30-34 years,30-34,2708
,2000,2000,35-39 years,35-39,6926
,2000,2000,40-44 years,40-44,13376
,2000,2000,45-49 years,45-49,19395
,2000,2000,50-54 years,50-54,22600
,2000,2000,55-59 years,55-59,22343
,2000,2000,60-64 years,60-64,21150
,2000,2000,65-69 years,65-69,21385
,2000,2000,70-74 years,70-74,21977
,2000,2000,75-79 years,75-79,20330
,2000,2000,80-84 years,80-84,13951
,2000,2000,85+ years,85,11600
,2001,2001,15-19 years,15-19,22
,2001,2001,20-24 years,20-24,128
,2001,2001,25-29 years,25-29,783
,2001,2001,30-34 years,30-34,2899
,2001,2001,35-39 years,35-39,6863
,2001,2001,40-44 years,40-44,13597
,2001,2001,45-49 years,45-49,19342
,2001,2001,50-54 years,50-54,23474
,2001,2001,55-59 years,55-59,23205
,2001,2001,60-64 years,60-64,21554
,2001,2001,65-69 years,65-69,21262
,2001,2001,70-74 years,70-74,21738
,2001,2001,75-79 years,75-79,20384
,2001,2001,80-84 years,80-84,14268
,2001,2001,85+ years,85,11739
,2002,2002,15-19 years,15-19,19
,2002,2002,20-24 years,20-24,133
,2002,2002,25-29 years,25-29,802
,2002,2002,30-34 years,30-34,2744
,2002,2002,35-39 years,35-39,6531
