
State,FIPS,"Percent(2)","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Number of Respondents with Screening or Risk Factor
"United States",00000,70.2 ,N/A,N/A,N/A
"Wyoming",56000,59.5 ,56.7, 62.3,1068
"New Mexico",35000,62.0 ,58.9, 65.0,1305
"Idaho",16000,62.1 ,59.8, 64.5,1431
"Alaska",02900,62.5 ,59.5, 65.5,1206
"Nevada",32000,62.7 ,58.3, 67.0,742
"Oklahoma",40000,64.2 ,61.8, 66.6,1425
"Utah",49000,64.5 ,62.4, 66.7,2034
"Colorado",08000,65.6 ,63.2, 67.9,2023
"Illinois",17000,65.9 ,62.5, 69.2,905
"Vermont",50000,66.4 ,64.1, 68.7,2399
"Montana",30000,66.9 ,64.6, 69.2,1797
"Washington",53000,66.9 ,65.6, 68.1,6754
"Texas",48000,67.0 ,64.4, 69.5,3276
"California",06000,67.1 ,64.5, 69.7,2155
"Arizona",04000,67.2 ,64.8, 69.5,2586
"Nebraska",31000,67.6 ,65.3, 69.9,2020
"Kansas",20000,68.0 ,66.1, 69.9,3025
"Kentucky",21000,68.2 ,64.9, 71.6,1063
"Ohio",39000,68.3 ,66.5, 70.0,4392
"Oregon",41000,68.5 ,66.0, 71.1,1450
"Arkansas",05000,68.7 ,66.2, 71.2,1456
"Missouri",29000,69.1 ,66.7, 71.5,1894
"Tennessee",47000,69.4 ,66.6, 72.2,1343
"Pennsylvania",42000,70.0 ,66.4, 73.7,1172
"District of Columbia",11001,70.2 ,66.6, 73.7,821
"Mississippi",28000,70.2 ,67.1, 73.3,1105
"West Virginia",54000,70.3 ,67.9, 72.6,1579
"New Jersey",34000,70.5 ,67.8, 73.1,1865
"Alabama",01000,70.6 ,67.6, 73.6,1544
"Indiana",18000,70.8 ,69.0, 72.5,2840
"Florida",12000,71.1 ,68.5, 73.7,3761
"Georgia",13000,71.2 ,68.9, 73.5,2652
"Iowa",19000,71.4 ,69.4, 73.5,2383
"Virginia",51000,71.6 ,69.6, 73.5,3223
"South Dakota",46000,71.9 ,66.6, 77.3,2120
"North Dakota",38000,72.0 ,69.3, 74.7,1082
"North Carolina",37000,72.2 ,69.0, 75.4,1171
"Minnesota",27000,72.5 ,70.9, 74.0,4442
"Hawaii",15000,72.6 ,70.1, 75.2,2222
"Michigan",26000,72.7 ,70.9, 74.5,2957
"South Carolina",45000,72.9 ,71.1, 74.8,3031
"Wisconsin",55000,73.0 ,71.3, 74.8,3306
"New York",36000,73.1 ,71.3, 74.9,4679
"Maine",23000,73.6 ,71.8, 75.4,3504
"Delaware",10000,73.7 ,70.8, 76.7,1187
"New Hampshire",33000,73.8 ,71.6, 76.0,2215
"Maryland",24000,75.6 ,73.9, 77.3,4789
"Puerto Rico",72001,75.6 ,73.3, 77.9,1847
"Connecticut",09000,76.2 ,73.9, 78.6,2585
"Louisiana",22000,77.0 ,74.8, 79.2,1713
"Massachusetts",25000,77.0 ,75.1, 79.0,2969
"Rhode Island",44000,78.4 ,76.1, 80.7,1822
