Notes,State,State Code,Deaths,Population,Age-Adjusted Rate
,Alabama,1,15819,56226224,23.1
,Alaska,2,1356,7674965,20.5
,Arizona,4,17628,72233883,20.6
,Arkansas,5,9327,33628106,22.4
,California,6,99467,428484318,21.3
,Colorado,8,12499,57629957,20.2
,Connecticut,9,11366,41831573,20.7
,Delaware,10,3046,10580152,23.0
,District of Columbia,11,2278,7460742,28.8
,Florida,12,64464,221756068,20.8
,Georgia,13,27181,112412727,22.9
,Hawaii,15,3251,15511475,16.6
,Idaho,16,4251,17892300,21.4
,Illinois,17,41429,148954881,23.4
,Indiana,18,20569,75279312,22.9
,Iowa,19,9710,35395076,20.6
,Kansas,20,8738,32719362,21.9
,Kentucky,21,14052,50271283,23.1
,Louisiana,22,15490,53531431,25.5
,Maine,23,4391,15551015,20.0
,Maryland,24,18962,68596744,23.7
,Massachusetts,25,20516,78623978,20.3
,Michigan,26,33085,116626187,23.0
,Minnesota,27,14961,61427223,20.1
,Mississippi,28,10048,34710177,25.1
,Missouri,29,20253,69471380,23.3
,Montana,30,3041,11329881,20.6
,Nebraska,31,5541,21177475,21.2
,Nevada,32,7518,29896674,23.1
,New Hampshire,33,4093,15298608,20.9
,New Jersey,34,31354,104147924,23.8
,New Mexico,35,5680,23331007,20.8
,New York,36,62546,231562079,21.7
,North Carolina,37,29501,110159680,22.6
,North Dakota,38,2039,7902108,20.0
,Ohio,39,41641,135816622,24.2
,Oklahoma,40,12291,43218458,23.9
,Oregon,41,12019,44375362,21.5
,Pennsylvania,42,48200,149183144,23.4
,Rhode Island,44,3412,12669860,20.2
,South Carolina,45,15305,54076631,23.4
,South Dakota,46,2498,9357299,20.7
,Tennessee,47,20985,74294772,23.4
,Texas,48,62717,290274443,21.5
,Utah,49,5681,31425013,21.2
,Vermont,50,1972,7305369,20.2
,Virginia,51,25106,92887191,23.3
,Washington,53,18948,77732782,21.1
,West Virginia,54,6738,21278720,22.9
,Wisconsin,55,17333,65458987,20.9
,Wyoming,56,1486,6175257,20.7
Total,,,951782,3594815885,22.2
